Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 100	Peptides 100 (2)	Peptides 250-1	Peptides 250-2	Razor + unique peptides 100	Razor + unique peptides 100 (2)	Razor + unique peptides 250-1	Razor + unique peptides 250-2	Unique peptides 100	Unique peptides 100 (2)	Unique peptides 250-1	Unique peptides 250-2	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type 100	Identification type 100 (2)	Identification type 250-1	Identification type 250-2	Sequence coverage 100 [%]	Sequence coverage 100 (2) [%]	Sequence coverage 250-1 [%]	Sequence coverage 250-2 [%]	Intensity	Intensity 100	Intensity 100 (2)	Intensity 250-1	Intensity 250-2	LFQ intensity 100	LFQ intensity 100 (2)	LFQ intensity 250-1	LFQ intensity 250-2	MS/MS Count 100	MS/MS Count 100 (2)	MS/MS Count 250-1	MS/MS Count 250-2	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Phospho (STY) site IDs	Oxidation (M) site positions	Phospho (STY) site positions
CON__Q2HJF0	CON__Q2HJF0	1	1	1	>Q2HJF0 TREMBL:Q2HJF0 (Bos taurus) Similar to Serotransferrin	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	1.6	1.6	1.6	69.182	622	622	0.007837	5.3422	By matching	By matching	By MS/MS	By matching	0	0	1.6	0	2612200	0	0	2612200	0	0	0	4952500	0	0	0	1	0	1			+	0	1570	True	1918	4991	4543	4543				
REV__tr|A0A178UWT7|A0A178UWT7_ARATH;REV__sp|F4JI46|RGAP2_ARATH	REV__tr|A0A178UWT7|A0A178UWT7_ARATH;REV__sp|F4JI46|RGAP2_ARATH	1;1	1;1	1;1	>tr|A0A178UWT7|A0A178UWT7_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At4g03830 PE=4 SV=1;>sp|F4JI46|RGAP2_ARATH Rho GTPase-activating protein 2 OS=Arabidopsis thaliana GN=ROPGAP2 PE=1 SV=1	2	1	1	1	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0	47.29	430	430;430	1	-2	By MS/MS	By matching	By matching	By matching	0	0	0	0	19740000	13872000	0	0	5867300	0	0	0	22290000	1	0	0	0	1	+	+		1	211	True	261	654;655;656	591	591		0		277
REV__sp|F4KGY6|RVE1_ARATH;REV__tr|A0A178UEX6|A0A178UEX6_ARATH	REV__sp|F4KGY6|RVE1_ARATH;REV__tr|A0A178UEX6|A0A178UEX6_ARATH	1;1	1;1	1;1	>sp|F4KGY6|RVE1_ARATH Protein REVEILLE 1 OS=Arabidopsis thaliana GN=RVE1 PE=2 SV=1;>tr|A0A178UEX6|A0A178UEX6_ARATH RVE1 OS=Arabidopsis thaliana GN=AXX17_At5g16950 PE=4 SV=1	2	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	42.98	387	387;441	0.0052398	5.7249	By matching	By matching	By MS/MS	By matching	0	0	0	0	8036100	0	0	8036100	0	0	0	15236000	0	0	0	1	0	1		+		2	2851	True	3501	9366	8627	8627				
REV__tr|A0A178VMP6|A0A178VMP6_ARATH;REV__sp|O22558|STY8_ARATH	REV__tr|A0A178VMP6|A0A178VMP6_ARATH;REV__sp|O22558|STY8_ARATH	1;1	1;1	1;1	>tr|A0A178VMP6|A0A178VMP6_ARATH STY8 OS=Arabidopsis thaliana GN=AXX17_At2g12990 PE=4 SV=1;>sp|O22558|STY8_ARATH Serine/threonine-protein kinase STY8 OS=Arabidopsis thaliana GN=STY8 PE=1 SV=2	2	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	61.481	546	546;546	0.0071259	5.4482	By matching	By matching	By MS/MS	By matching	0	0	0	0	9960700	0	0	9960700	0	0	0	9442400	0	0	0	1	0	1		+		3	2127	True	2604	6831;6832	6308	6308				
REV__tr|A0A178VXF5|A0A178VXF5_ARATH;REV__sp|Q0WUU6|PLT4_ARATH	REV__tr|A0A178VXF5|A0A178VXF5_ARATH;REV__sp|Q0WUU6|PLT4_ARATH	1;1	1;1	1;1	>tr|A0A178VXF5|A0A178VXF5_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At2g16180 PE=3 SV=1;>sp|Q0WUU6|PLT4_ARATH Probable polyol transporter 4 OS=Arabidopsis thaliana GN=PLT4 PE=2 SV=1	2	1	1	1	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	56.801	526	526;526	0.0021815	6.588	By matching	By MS/MS	By matching	By matching	0	0	0	0	270270000	0	267440000	2834800	0	0	0	5374600	0	0	1	0	0	1		+		4	421	True	511	1293;1294;1295	1198	1198	0	1;2	75	74;80
REV__tr|C0Z3D6|C0Z3D6_ARATH;REV__sp|Q8RX72|AMPL3_ARATH;REV__tr|A0A178V6Z1|A0A178V6Z1_ARATH;REV__sp|Q944P7|AMPL2_ARATH	REV__tr|C0Z3D6|C0Z3D6_ARATH;REV__sp|Q8RX72|AMPL3_ARATH;REV__tr|A0A178V6Z1|A0A178V6Z1_ARATH;REV__sp|Q944P7|AMPL2_ARATH	1;1;1;1	1;1;1;1	1;1;1;1	>tr|C0Z3D6|C0Z3D6_ARATH AT4G30910 protein OS=Arabidopsis thaliana GN=At4g30910 PE=2 SV=1;>sp|Q8RX72|AMPL3_ARATH Leucine aminopeptidase 3, chloroplastic OS=Arabidopsis thaliana GN=LAP3 PE=2 SV=1;>tr|A0A178V6Z1|A0A178V6Z1_ARATH Uncharacterized protein OS=Ara	4	1	1	1	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	50.071	478	478;581;582;583	0.0048642	5.8116	By MS/MS	By MS/MS	By matching	By matching	0	0	0	0	438510000	198550000	239960000	0	0	0	119980000	0	0	2	1	0	0	3		+		5	5849	True	7251	19767;19768;19769;19770;19771	18059;18060;18061	18060		3		325
REV__tr|A0A178WJY5|A0A178WJY5_ARATH;REV__tr|A0A178WK69|A0A178WK69_ARATH;REV__sp|Q8RY89|PI5K8_ARATH;REV__tr|F4HRM3|F4HRM3_ARATH	REV__tr|A0A178WJY5|A0A178WJY5_ARATH;REV__tr|A0A178WK69|A0A178WK69_ARATH;REV__sp|Q8RY89|PI5K8_ARATH;REV__tr|F4HRM3|F4HRM3_ARATH	1;1;1;1	1;1;1;1	1;1;1;1	>tr|A0A178WJY5|A0A178WJY5_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At1g53980 PE=4 SV=1;>tr|A0A178WK69|A0A178WK69_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At1g53980 PE=4 SV=1;>sp|Q8RY89|PI5K8_ARATH Phosphatidylino	4	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	64.946	568	568;769;769;781	0.0093494	5.2952	By matching	By matching	By MS/MS	By matching	0	0	0	0	11523000	0	0	11523000	0	0	0	21847000	0	0	0	1	0	1		+		6	1063	True	1297	3326	3029	3029				
REV__tr|F4K6T0|F4K6T0_ARATH;REV__tr|A0A178UH64|A0A178UH64_ARATH;REV__sp|Q8VZV7|PMT9_ARATH	REV__tr|F4K6T0|F4K6T0_ARATH;REV__tr|A0A178UH64|A0A178UH64_ARATH;REV__sp|Q8VZV7|PMT9_ARATH	1;1;1	1;1;1	1;1;1	>tr|F4K6T0|F4K6T0_ARATH Putative methyltransferase PMT9 OS=Arabidopsis thaliana GN=At5g14430 PE=4 SV=1;>tr|A0A178UH64|A0A178UH64_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At5g13920 PE=4 SV=1;>sp|Q8VZV7|PMT9_ARATH Probable methyltransfe	3	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	69.889	612	612;612;612	0.0059737	5.5079	By matching	By MS/MS	By matching	By matching	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1		+		7	3337	True	4111	10958	10021	10021		4		552
tr|A0A178VQ14|A0A178VQ14_ARATH;tr|A0A178WPV8|A0A178WPV8_ARATH;sp|Q9S9Z7|P2C10_ARATH;tr|A0A178UWD8|A0A178UWD8_ARATH;sp|Q93YW5|P2C58_ARATH;tr|A0A178V8X3|A0A178V8X3_ARATH;sp|Q9LDA7|P2C39_ARATH;sp|Q9SIU8|P2C20_ARATH;REV__sp|Q93ZH1|TORL4_ARATH;REV__tr|A0A178WM64|A0A178WM64_ARATH	tr|A0A178VQ14|A0A178VQ14_ARATH;tr|A0A178WPV8|A0A178WPV8_ARATH;sp|Q9S9Z7|P2C10_ARATH;tr|A0A178UWD8|A0A178UWD8_ARATH;sp|Q93YW5|P2C58_ARATH;tr|A0A178V8X3|A0A178V8X3_ARATH;sp|Q9LDA7|P2C39_ARATH;sp|Q9SIU8|P2C20_ARATH;REV__sp|Q93ZH1|TORL4_ARATH;REV__tr|A0A178WM64|A0A178WM64_ARATH	1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1	>tr|A0A178VQ14|A0A178VQ14_ARATH PIA1 OS=Arabidopsis thaliana GN=AXX17_At2g16010 PE=4 SV=1;>tr|A0A178WPV8|A0A178WPV8_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At1g35730 PE=4 SV=1;>sp|Q9S9Z7|P2C10_ARATH Probable protein phosphatase 2C 10	10	1	1	1	1	0	0	1	1	0	0	1	1	0	0	1	2.9	2.9	2.9	30.496	279	279;282;282;283;283;289;289;290;625;626	0	8.0606	By MS/MS	By matching	By matching	By matching	2.9	0	0	2.9	21847000	19906000	0	0	1940400	0	0	0	7371600	2	0	0	0	2				8	128	True	158	375;376	337;338	338		5		202
REV__tr|A0A178W8F2|A0A178W8F2_ARATH;REV__sp|Q9C9L0|CUL3B_ARATH	REV__tr|A0A178W8F2|A0A178W8F2_ARATH;REV__sp|Q9C9L0|CUL3B_ARATH	1;1	1;1	1;1	>tr|A0A178W8F2|A0A178W8F2_ARATH CUL3B OS=Arabidopsis thaliana GN=AXX17_At1g63770 PE=3 SV=1;>sp|Q9C9L0|CUL3B_ARATH Cullin-3B OS=Arabidopsis thaliana GN=CUL3B PE=1 SV=1	2	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	85.579	732	732;732	0.0063568	5.4836	By matching	By MS/MS	By matching	By matching	0	0	0	0	13146000	0	13146000	0	0	0	6573000	0	0	0	1	0	0	1		+		9	5680	True	7047	19077;19078	17459	17459				
