,,,,,"Normalized abundance",,,"Raw abundance",,
,,,,,"Condition 1",,,"Condition 1",,
"Accession","Peptide count","Unique peptides","Confidence score","Description","PSB100","PSB250 (2)","PSB250-1","PSB100","PSB250 (2)","PSB250-1"
"AT1G01100.1","3","1","230.33","| Symbols:  | 60S acidic ribosomal protein family | chr1:50284-50954 REVERSE LENGTH=112","201909575.17519","155962729.899062","112989403.624004","408208637.825179","155962729.899062","446023825.994802"
"AT1G01510.1","1","1","27.9","| Symbols: AN | NAD(P)-binding Rossmann-fold superfamily protein | chr1:187235-189836 FORWARD LENGTH=636","806746.714051598","1035983.16381885","1405057.72559297","1631031.99502649","1035983.16381885","5546442.43099087"
"AT1G01780.1","1","1","33.59","| Symbols:  | GATA type zinc finger transcription factor family protein | chr1:282919-284082 FORWARD LENGTH=205","0","0","17120.2682766927","0","0","67581.9794946299"
"AT1G01960.1","1","1","153.17","| Symbols: EDA10 | SEC7-like guanine nucleotide exchange family protein | chr1:330830-337582 REVERSE LENGTH=1750","8013042.36208696","6949566.46098132","3256771.33593339","16200287.205918","6949566.46098132","12856051.6743414"
"AT1G02065.1","1","1","23.51","| Symbols: SPL8 | squamosa promoter binding protein-like 8 | chr1:365625-367149 FORWARD LENGTH=333","0","0","43716.7833572296","0","0","172571.288525989"
"AT1G02520.1","2","2","44.17","| Symbols: PGP11 | P-glycoprotein 11 | chr1:524134-528745 FORWARD LENGTH=1278","436999.67432514","576856.259143061","48771.2091640426","883499.663805106","576856.259143061","192523.551873299"
"AT1G02740.1","1","1","122.12","| Symbols:  | MRG family protein | chr1:599734-602021 REVERSE LENGTH=327","497099.650185521","76603.3397000539","3069.76150394088","1005006.18105673","76603.3397000539","12117.8334159151"
"AT1G02870.1","2","2","199.26","| Symbols:  | FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Ribosome biogenesis protein Nop16 (InterPro:IPR019002","11354039.5709285","26048272.7897712","14791099.4194093","22954914.4612901","26048272.7897712","58387623.4595231"
"AT1G03060.1","5","4","105.05","| Symbols: SPI | Beige/BEACH domain ;WD domain, G-beta repeat protein | chr1:712971-726891 REVERSE LENGTH=3601","27398.6863977764","363533.416951272","1557278.91791778","55393.0166161325","363533.416951272","6147333.10233325"
"AT1G03140.1","3","2","102.6","| Symbols:  | splicing factor Prp18 family protein | chr1:754471-756223 REVERSE LENGTH=420","1642.39843589451","0","981611.712595877","3320.50239668418","0","3874896.20841144"
"AT1G03350.1","4","3","142.17","| Symbols:  | BSD domain-containing protein | chr1:822834-824246 REVERSE LENGTH=470","3009174.74153438","11134201.7022506","1143865.51138719","6083768.54418057","11134201.7022506","4515390.42997507"
"AT1G03370.1","1","0","97.2","| Symbols:  | C2 calcium/lipid-binding and GRAM domain containing protein | chr1:830968-834996 FORWARD LENGTH=1020",,,,"0","0","0"
"AT1G03445.1","1","1","29.91","| Symbols: BSU1 | Serine/threonine protein phosphatase family protein | chr1:854653-859599 REVERSE LENGTH=793","978817.494999925","83325.0734863251","28902.2592215461","1978914.35295571","83325.0734863251","114091.196381436"
"AT1G03530.1","1","1","36.11","| Symbols: ATNAF1, NAF1 | nuclear assembly factor 1 | chr1:880638-883338 REVERSE LENGTH=801","129753.839191061","2169.2807355102","470.826010649202","262328.509694565","2169.2807355102","1858.5779897241"
"AT1G03880.1","1","1","122.17","| Symbols: CRU2, CRB | cruciferin 2 | chr1:985786-987916 FORWARD LENGTH=455","239050.849447044","20749533.7611007","5163.16139946026","483298.632762021","20749533.7611007","20381.495323927"
"AT1G03910.1","1","1","110.42","| Symbols:  | EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Cactin protein, cactus-binding domain, C-terminal (InterPro:IPR019134), Cactin, central region (InterPro:IPR018816); BEST Arabidopsis th","2654050.02397236","625228.390894204","5314.77296319197","5365798.74463905","625228.390894204","20979.9794963517"
"AT1G03970.1","1","1","22.66","| Symbols: GBF4 | G-box binding factor 4 | chr1:1018237-1019049 FORWARD LENGTH=270","474671.364959959","85114.1839222496","3037.03590966846","959662.022649494","85114.1839222496","11988.649666845"
"AT1G04080.1","3","3","115.16","| Symbols: PRP39 | Tetratricopeptide repeat (TPR)-like superfamily protein | chr1:1051803-1056550 FORWARD LENGTH=768","3957397.71079929","2545363.09506606","1509467.99881697","8000828.72472093","2545363.09506606","5958600.27980563"
"AT1G04400.1","4","4","252.52","| Symbols: CRY2, FHA, AT-PHH1, PHH1, ATCRY2 | cryptochrome 2 | chr1:1185719-1187901 REVERSE LENGTH=612","893720.062474835","961026.398809428","15339.6865802163","1806869.48097108","961026.398809428","60553.1623198661"
"AT1G04410.1","7","2","194.15","| Symbols:  | Lactate/malate dehydrogenase family protein | chr1:1189418-1191267 REVERSE LENGTH=332","292322.185817667","1726437.1050042","0","590999.417314268","1726437.1050042","0"
"AT1G04700.1","8","6","246.39","| Symbols:  | PB1 domain-containing protein tyrosine kinase | chr1:1316919-1320653 FORWARD LENGTH=1042","532333.121317442","1295940.77262254","516759.91576738","1076239.09432563","1295940.77262254","2039901.33020184"
"AT1G04780.1","2","2","98.93","| Symbols:  | Ankyrin repeat family protein | chr1:1340891-1342965 REVERSE LENGTH=664","201971.163775722","65993.3586450051","10995.7543825467","408333.153954278","65993.3586450051","43405.5608942138"
"AT1G04820.1","4","1","106.51","| Symbols: TUA4, TOR2 | tubulin alpha-4 chain | chr1:1356421-1358266 REVERSE LENGTH=450","5925.02403738283","61496.9822104928","21389.2260257058","11978.8573141363","61496.9822104928","84433.6205083409"
"AT1G04950.1","5","5","190.4","| Symbols: TAFII59, TAF6, ATTAF6 | TATA BOX ASSOCIATED FACTOR II 59 | chr1:1403606-1407184 REVERSE LENGTH=549","8186047.30978335","2805624.21092955","416050.976822369","16550058.206005","2805624.21092955","1642354.43802064"
"AT1G04990.1","3","2","108.06","| Symbols:  | Zinc finger C-x8-C-x5-C-x3-H type family protein | chr1:1419368-1421454 REVERSE LENGTH=404","982433.705342082","369095.774080059","74815.6628288883","1986225.38957485","369095.774080059","295333.607479885"
"AT1G05150.1","2","2","33.47","| Symbols:  | Calcium-binding tetratricopeptide family protein | chr1:1484280-1486706 REVERSE LENGTH=808","4439650.54095114","2969691.08370884","32290.8673694828","8975818.49780531","2969691.08370884","127467.671718622"
"AT1G05205.1","1","0","31.96","| Symbols:  | unknown protein; Has 44 Blast hits to 44 proteins in 16 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 44; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:1509352-1510249 REVERSE LENGTH=91",,,,"0","0","0"
"AT1G05490.1","1","1","46.97","| Symbols: chr31 | chromatin remodeling 31 | chr1:1618795-1623195 REVERSE LENGTH=1410","50305.0826102901","10931.4688720616","1723938.28763637","101703.791066927","10931.4688720616","6805218.24320124"
"AT1G05520.1","2","2","73.91","| Symbols:  | Sec23/Sec24 protein transport family protein | chr1:1631126-1635703 REVERSE LENGTH=783","15107658.6667012","2851502.78019659","279541.453716064","30543755.8358037","2851502.78019659","1103485.3243893"
"AT1G05805.1","2","2","65.24","| Symbols:  | basic helix-loop-helix (bHLH) DNA-binding superfamily protein | chr1:1744843-1747427 FORWARD LENGTH=362","2880459.48756507","1426139.63003021","30775.7705997842","5823539.78363494","1426139.63003021","121486.851957664"
"AT1G06070.1","6","6","185.78","| Symbols:  | Basic-leucine zipper (bZIP) transcription factor family protein | chr1:1835201-1837116 REVERSE LENGTH=423","722392.400908481","1683041.82993087","537464.552460297","1460489.51712294","1683041.82993087","2121632.54549649"
"AT1G06190.1","3","2","155.07","| Symbols:  | Rho termination factor | chr1:1892467-1894078 REVERSE LENGTH=401","2102732.15603462","1143545.98765993","392083.696410897","4251177.43119081","1143545.98765993","1547743.98991713"
"AT1G06210.1","3","3","186.53","| Symbols:  | ENTH/VHS/GAT family protein | chr1:1897567-1898986 FORWARD LENGTH=383","75582254.2526084","124958376.650823","41260967.3646498","152807656.721794","124958376.650823","162876994.992105"
"AT1G06410.1","1","1","106.54","| Symbols: ATTPS7, TPS7, ATTPSA | trehalose-phosphatase/synthase 7 | chr1:1955413-1958153 FORWARD LENGTH=851","43085569.356823","14966845.9506647","1552945.79721153","87107813.2961775","14966845.9506647","6130228.17909346"
"AT1G06660.1","5","4","346.71","| Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G30820.2); Has 166 Blast hits to 144 proteins in 35 species: Archae - 0; Bacteria - 17; Metazoa - 13; Fungi - 20; Plants - 104; Viruses - 0; Other Eu","1388147.00676553","933301.151042187","23481.583348447","2806472.1459653","933301.151042187","92693.1668773333"
"AT1G06670.1","4","2","68.83","| Symbols: NIH | nuclear DEIH-boxhelicase | chr1:2040567-2047333 FORWARD LENGTH=1576","9171312.79153126","3482742.36511984","2018.15568025475","18542008.7108362","3482742.36511984","7966.6365967891"
"AT1G06720.1","1","1","30.1","| Symbols:  | P-loop containing nucleoside triphosphate hydrolases superfamily protein | chr1:2060615-2067281 REVERSE LENGTH=1147","62985.079554299","118544.582046114","831462.012672733","127339.446412397","118544.582046114","3282182.71950278"
"AT1G06770.1","3","2","155.41","| Symbols: DRIP1 | DREB2A-interacting protein 1 | chr1:2079222-2081707 REVERSE LENGTH=421","71632.1476821534","232136.605233361","411431.401553273","144821.568786188","232136.605233361","1624118.74007103"
"AT1G06840.1","1","1","30.55","| Symbols:  | Leucine-rich repeat protein kinase family protein | chr1:2097854-2103208 REVERSE LENGTH=953","783195.873991955","901788.994334402","8188.16928175429","1583418.32275739","901788.994334402","32322.6645490966"
"AT1G07110.1;AT3G30200.1","6","6","316.6","| Symbols: F2KP, ATF2KP, FKFBP | fructose-2,6-bisphosphatase | chr1:2178363-2183980 REVERSE LENGTH=744","6547925.10984665","4981812.2159849","234802.461881016","13238201.2460409","4981812.2159849","926878.884587021"
